iter	Passed	Remaining
418	2304	3195
419	2308	3188
420	2312	3180
421	2316	3172
422	2321	3166
423	2326	3160
424	2329	3152
425	2334	3146
426	2338	3138
427	2342	3131
428	2346	3123
429	2350	3116
430	2354	3108
431	2358	3100
432	2363	3094
433	2367	3087
434	2370	3079
435	2374	3071
436	2378	3064
437	2382	3056
438	2386	3049
439	2390	3042
440	2394	3035
441	2398	3027
442	2401	3020
443	2405	3012
444	2410	3005
445	2414	2998
446	2417	2991
447	2421	2984
448	2425	2977
449	2429	2969
450	2433	2962
451	2437	2955
452	2441	2948
453	2445	2940
454	2449	2933
455	2453	2926
456	2456	2919
457	2460	2912
458	2464	2905
459	2468	2898
460	2472	2891
461	2476	2884
462	2480	2877
463	2485	2870
464	2488	2863
465	2492	2856
466	2497	2850
467	2504	2846
468	2508	2840
469	2512	2833
470	2516	2826
471	2520	2819
472	2524	2812
473	2528	2806
474	2532	2799
475	2536	2792
476	2540	2785
477	2544	2778
478	2549	2772
479	2553	2765
480	2556	2758
481	2561	2752
482	2564	2745
483	2568	2738
484	2572	2731
485	2575	2724
486	2579	2717
487	2583	2710
488	2586	2703
489	2590	2696
490	2594	2689
491	2598	2683
492	2602	2676
493	2606	2669
494	2610	2662
495	2613	2656
496	2617	2649
497	2621	2642
498	2625	2635
499	2629	2629
500	2632	2622
501	2636	2615
502	2640	2608
503	2644	2602
504	2648	2595
505	2652	2589
506	2656	2582
507	2659	2576
508	2663	2569
509	2667	2563
510	2671	2556
511	2675	2550
512	2679	2543
513	2683	2537
514	2688	2531
515	2692	2525
516	2696	2519
517	2701	2513
518	2704	2506
519	2708	2500
520	2712	2493
521	2716	2487
522	2720	2481
523	2724	2474
524	2728	2468
525	2731	2461
526	2735	2455
527	2739	2449
528	2743	2442
529	2747	2436
530	2751	2430
531	2755	2424
532	2759	2418
533	2763	2411
534	2767	2405
535	2771	2399
536	2776	2393
537	2780	2387
538	2784	2381
539	2788	2375
540	2791	2368
541	2795	2362
542	2799	2356
543	2803	2349
544	2806	2343
545	2810	2337
546	2814	2331
547	2818	2324
548	2822	2318
549	2826	2312
550	2830	2306
551	2833	2300
552	2837	2293
553	2841	2287
554	2846	2282
555	2850	2276
556	2854	2270
557	2859	2264
558	2863	2258
559	2867	2252
560	2871	2246
561	2875	2240
562	2879	2234
563	2883	2229
564	2887	2223
565	2891	2217
566	2895	2211
567	2899	2205
568	2903	2199
569	2907	2193
570	2911	2187
571	2915	2181
572	2919	2175
573	2923	2169
